id,year,type,weight_lbs
3820,2021,4,28822.9
3821,2021,5,28847.8
3822,2021,5,28872.8
3823,2021,3,28897.7
3824,2021,4,28922.6
3825,2021,5,28947.6
3826,2021,4,28972.5
3827,2021,3,28997.4
3828,2021,3,29022.4
3829,2021,3,29047.3
3830,2021,3,29072.2
3831,2021,4,29097.2
3832,2021,3,29122.1
3833,2021,3,29147.0
3834,2021,5,29171.9
3835,2021,4,29196.9
3836,2021,3,29221.8
3837,2021,4,29246.7
3838,2021,2,29271.7
3839,2021,4,29296.6
3840,2021,4,29321.5
3841,2021,3,29346.5
3842,2021,3,29371.4
3843,2021,3,29396.3
3844,2021,3,29421.3
3845,2021,3,29446.2
3846,2021,5,29471.1
3847,2021,3,29496.1
3848,2021,4,29521.0
3849,2021,4,29545.9
3850,2021,3,29570.9
3851,2021,3,29595.8
3852,2021,3,29620.7
3853,2021,4,29645.6
3854,2021,3,29670.6
3855,2021,4,29695.5
3856,2021,4,29720.4
3857,2021,3,29745.4
3858,2021,3,29770.3
3859,2021,5,29795.2
3860,2021,3,29820.2
3861,2021,5,29845.1
3862,2021,4,29870.0
3863,2021,3,29895.0
3864,2021,4,29919.9
3865,2021,2,29944.8
3866,2021,4,29969.8
3867,2021,3,29994.7
3868,2021,3,30019.6
3869,2021,5,30044.6
3870,2021,4,30069.5
3871,2021,3,30094.4
3872,2021,3,30119.3
3873,2021,4,30144.3
3874,2021,3,30169.2
3875,2021,3,30194.1
3876,2021,4,30219.1
3877,2021,3,30244.0
3878,2021,4,30268.9
3879,2021,3,30293.9
3880,2021,4,30318.8
3881,2021,3,30343.7
3882,2021,3,30368.7
3883,2021,3,30393.6
3884,2021,4,30418.5
3885,2021,3,30443.5
3886,2021,3,30468.4
3887,2021,3,30493.3
3888,2021,4,30518.3
3889,2021,4,30543.2
3890,2021,3,30568.1
3891,2021,3,30593.0
3892,2021,3,30618.0
3893,2021,3,30642.9
3894,2021,5,30667.8
3895,2021,5,30692.8
3896,2021,3,30717.7
3897,2021,3,30742.6
3898,2021,3,30767.6
3899,2021,4,30792.5
3900,2021,4,30817.4
3901,2021,3,30842.4
3902,2021,5,30867.3
3903,2021,3,30892.2
3904,2021,3,30917.2
3905,2021,4,30942.1
3906,2021,3,30967.0
3907,2021,3,30992.0
3908,2021,3,31016.9
3909,2021,5,31041.8
3910,2021,3,31066.7
3911,2021,3,31091.7
3912,2021,5,31116.6
3913,2021,4,31141.5
3914,2021,5,31166.5
3915,2021,3,31191.4
3916,2021,3,31216.3
3917,2021,3,31241.3
3918,2021,5,31266.2
3919,2021,5,31291.1
3920,2021,3,31316.1
3921,2021,3,31341.0
3922,2021,3,31365.9
3923,2021,3,31390.9
3924,2021,3,31415.8
3925,2021,3,31440.7
3926,2021,3,31465.7
3927,2021,3,31490.6
3928,2021,5,31515.5
3929,2021,3,31540.4
3930,2021,4,31565.4
3931,2021,4,31590.3
3932,2021,3,31615.2
3933,2021,4,31640.2
3934,2021,3,31665.1
3935,2021,3,31690.0
3936,2021,3,31715.0
3937,2021,3,31739.9
3938,2021,4,31764.8
3939,2021,4,31789.8
3940,2021,3,31814.7
3941,2021,3,31839.6
3942,2021,3,31864.6
3943,2021,3,31889.5
3944,2021,3,31914.4
3945,2021,3,31939.4
3946,2021,3,31964.3
3947,2021,4,31989.2
3948,2021,4,32014.1
